"Sankhya Integration","Integração Sankhya"
"General Configuration","Configurações Gerais"
"Security key","Chave de segurança"
"Key used to generate the token that validates all transitions between your Store and Hyper.","Chave utilizada para gerar o token que valida todas as transições entre sua Loja e o Sankhya."
"Initialization of Import and Update of Products - Sankhya Integration","Inicialização da Importação e Atualização de Produtos - Integração Sankhya"
"Finalization of Import and Update of Products - Sankhya Integration","Finalização da Importação e Atualização de Produtos - Integração Sankhya"
"Token can not be null.","Token não pode ser nulo."
"Height","Altura"
"Height can not be less than 0.","A altura não pode ser menor que 0."
"Height can not be greater than 99999.999.","A altura não pode ser maior que 99999.999"
"Width","Largura"
"Width can not be less than 0.","A largura não pode ser menor que 0."
"Width can not be greater than 99999.999.","A largura não pode ser maior que 99999.999"
"Length","Comprimento"
"Length can not be less than 0.","O comprimento não pode ser menor que 0."
"Length can not be greater than 99999.999.","O comprimento não pode ser maior que 99999.999"
"Brand","Marca"
"Unity","Unidade"
"Sankhya ID","ID Sankhya"
"Sync Point","Ponto de Sincronização"
"This field is used to get the synchronization point (last update) of the products. It is recommended that this field is not changed.","Este campo é utilizado para pegar o ponto de sincronização (última atualização) dos produtos. É recomendável que este campo não seja alterado."
"No products found after the last sync point.","Nenhum produto encontrado após o último ponto de sincronização."
"Error generating the token.","Erro ao gerar o token."
"The Order must have at least one item to be sent to Sankhya.","O Pedido deve ter pelo menos um item para ser enviado ao Sankhya."
"There was an unexpected error when sending the Order to Sankhya.","Houve um erro inesperado ao enviar o Pedido para o Sankhya."
"Initialization of Update of Orders - Sankhya Integration","Inicialização da Atualização de Pedidos - Integração Sankhya"
"Finalization of Update of Orders - Sankhya Integration","Finalização da Atualização de Pedidos - Integração Sankhya"
"Sankhya Order not found: %1","Pedido Sankhya não encontrado: %1"
"Order Information - Sankhya","Informações do Pedido - Sankhya"
"Order not integrated.","Pedido não integrado."
"Sankhya Order Code","Código do Pedido Sankhya"
"Order canceled: %1","Pedido cancelado: %1"
"Processing Situation","Situação de Processamento"
"Processing","Em processamento"
"Successfully processed","Processado com sucesso"
"Processed with error","Processado com erro"
"Event Type Code","Código do Tipo de Evento"
"Date","Data"
"Observation","Observação"
"Event","Evento"
"Order processing","Processamento do pedido"
"Stock separation","Separação do produto em estoque"
"Issuance of invoice","Emissão da nota fiscal"
"Carrier delivery","Entrega à transportadora"
"Cancellation","Cancelamento"
"Error importing image to product: %1","Erro ao importar a imagem para o produto: %1"
"Image imported successfully: SKU %1","Imagem importada com sucesso: SKU %1"
"Existing %1 image for Product SKU: %2","Imagem %1 já existente para o Produto SKU: %2"
"Cancel orders","Cancelar pedidos"
"If 'Yes', Store Orders will be canceled when the Order is canceled on Sankhya.","Se 'Sim', os Pedidos da Loja serão cancelados quando o Pedido estiver cancelado no Sankhya."
"Order Status Settings","Configurações de Status dos Pedidos"
"Order Processing","Processamento do Pedido"
"Separation of product in stock","Separação do produto em estoque"
"Invoice issue","Emissão da Nota Fiscal"
"Delivery to carrier","Entrega à transportadora"
"When the Sankhya sends this event, the Order will be updated to the selected status.","Quando o Sankhya enviar este evento, o Pedido será atualizado para o status selecionado."
"When the Sankhya sends an event, the Order will be updated to the status related to the event.","Quando o Sankhya enviar algum evento, o Pedido será atualizado para o status relacionado ao evento."
"In this event the Order invoice will be created. Recommended status: Processing or any status assigned to the Processing status","Neste evento será criado a fatura do Pedido. Status recomendado: Processando ou algum status atribuído ao status Processando"
"Recommended status: Processing or any status assigned to the Processing status","Status recomendado: Processando ou algum status atribuído ao status Processando"
"In this event, the order shipment will be created. Recommended status: Processing or any status assigned to the Processing status","Neste evento será criado a remessa do Pedido. Status recomendado: Processando ou algum status atribuído ao status Processando"
"Updated status: %1","Status atualizado: %1"
"The order does not allow an invoice to be created.","O pedido não permite que uma fatura seja criada."
"The order no longer exists.","O Pedido não existe mais."
"We can\'t save the invoice right now.","Não podemos salvar a fatura no momento."
"You can\'t create an invoice without products.","Você não pode criar uma fatura sem produtos."
"Invoice created.","Fatura criada."
"We can\'t send the invoice email right now.","Não podemos enviar o e-mail da fatura no momento."
"You can\'t create a shipment.","Você não pode criar uma remessa."
"We can\'t send the shipment email right now.","Não podemos enviar o e-mail da remessa no momento."